operation,phase,repetition,status,elapsedMs,scale,targetCount,startedAt,finishedAt,errorType,error
series-full-batch,measured,19,completed,3595.4268,S2,1240,2026-08-30T17:13:16.049191+00:00,2026-08-30T17:13:19.670190+00:00,,
series-full-batch,measured,20,completed,3570.9205,S2,1240,2026-08-30T17:13:19.672187+00:00,2026-08-30T17:13:23.266053+00:00,,
series-full-batch,measured,21,completed,3906.7586,S2,1240,2026-08-30T17:13:23.268075+00:00,2026-08-30T17:13:27.198439+00:00,,
series-full-batch,measured,22,completed,3718.9292,S2,1240,2026-08-30T17:13:27.200444+00:00,2026-08-30T17:13:30.943561+00:00,,
series-full-batch,measured,23,completed,3567.4831,S2,1240,2026-08-30T17:13:30.945626+00:00,2026-08-30T17:13:34.536946+00:00,,
series-full-batch,measured,24,completed,3860.1518,S2,1240,2026-08-30T17:13:34.539951+00:00,2026-08-30T17:13:38.426251+00:00,,
series-full-batch,measured,25,completed,3813.2826,S2,1240,2026-08-30T17:13:38.428225+00:00,2026-08-30T17:13:42.265219+00:00,,
series-full-batch,measured,26,completed,3649.0631,S2,1240,2026-08-30T17:13:42.267213+00:00,2026-08-30T17:13:45.938300+00:00,,
series-full-batch,measured,27,completed,3757.7836,S2,1240,2026-08-30T17:13:45.940192+00:00,2026-08-30T17:13:49.725228+00:00,,
series-full-batch,measured,28,completed,3672.5141,S2,1240,2026-08-30T17:13:49.727227+00:00,2026-08-30T17:13:53.426949+00:00,,
series-full-batch,measured,29,completed,3625.0107,S2,1240,2026-08-30T17:13:53.428950+00:00,2026-08-30T17:13:57.078507+00:00,,
series-full-batch,measured,30,completed,3845.0824,S2,1240,2026-08-30T17:13:57.081608+00:00,2026-08-30T17:14:00.952328+00:00,,
gate-inspect,first,1,failed,180007.6622,S2,1240,2026-08-30T17:14:00.983810+00:00,2026-08-30T17:17:00.994160+00:00,TimeoutError,timed out
